User_ID,Transaction_ID,Timestamp,Location,Transaction_Amount,Category,Device_Type,Status
1051,T100000,2023-02-14 16:46:00,Delhi,2073.11,Food,Mobile,Success
1092,T100001,2023-01-03 00:38:00,Chennai,2564.9,Food,Mobile,Success
1014,T100002,2023-01-10 22:01:00,Chennai,1054.3,Clothing,Tablet,Success
1071,T100003,2023-02-09 03:37:00,Delhi,2418.96,Electronics,Mobile,Success
1060,T100004,2023-02-09 04:39:00,Bangalore,1619.42,Travel,Mobile,Failed
1020,T100005,2023-02-16 04:32:00,Chennai,2054.91,Electronics,Mobile,Failed
1082,T100006,2023-02-18 13:12:00,Bangalore,1609.82,Electronics,Desktop,Success
1086,T100007,2023-01-26 04:21:00,Delhi,2479.58,Travel,Mobile,Success
1074,T100008,2023-02-01 00:03:00,Chennai,1855.82,Food,Mobile,Success
1074,T100009,2023-01-15 05:16:00,Mumbai,2422.9,Clothing,Tablet,Success
1087,T100010,2023-02-10 07:56:00,Delhi,2217.66,Utilities,Mobile,Failed
1099,T100011,2023-02-23 02:17:00,Hyderabad,1603.1,Travel,Mobile,Success
1023,T100012,2023-03-07 04:18:00,Bangalore,2250.93,Travel,Mobile,Success
1002,T100013,2023-03-10 15:41:00,Delhi,1668.22,Utilities,Desktop,Success
1021,T100014,2023-01-15 07:24:00,Delhi,2032.06,Electronics,Tablet,Success
1052,T100015,2023-01-03 09:11:00,Chennai,1846.7,Clothing,Tablet,Success
1001,T100016,2023-02-01 23:13:00,Chennai,2449.96,Electronics,Desktop,Success
1087,T100017,2023-02-06 12:07:00,Chennai,2270.16,Utilities,Desktop,Success
1029,T100018,2023-01-25 02:33:00,Hyderabad,1984.64,Utilities,Tablet,Failed
1037,T100019,2023-01-13 06:46:00,Chennai,1657.14,Clothing,Mobile,Success
1001,T100020,2023-02-21 19:32:00,Delhi,1365.5,Utilities,Tablet,Success
1063,T100021,2023-02-12 10:15:00,Chennai,2067.83,Utilities,Desktop,Success
1059,T100022,2023-01-13 16:33:00,Mumbai,1683.85,Clothing,Mobile,Success
1020,T100023,2023-01-12 23:49:00,Chennai,1061.0,Travel,Tablet,Success
1032,T100024,2023-01-27 13:56:00,Hyderabad,1334.99,Electronics,Mobile,Success
1075,T100025,2023-02-21 06:38:00,Mumbai,2812.94,Travel,Mobile,Success
1057,T100026,2023-01-24 00:35:00,Delhi,1670.01,Travel,Desktop,Success
1021,T100027,2023-01-10 02:39:00,Delhi,2541.08,Electronics,Tablet,Success
1088,T100028,2023-01-08 09:11:00,Bangalore,1821.68,Travel,Desktop,Success
1048,T100029,2023-02-18 08:13:00,Mumbai,2619.79,Clothing,Tablet,Success
1090,T100030,2023-01-05 10:36:00,Bangalore,2583.58,Electronics,Tablet,Success
1058,T100031,2023-02-04 22:49:00,Mumbai,1587.15,Food,Mobile,Success
1041,T100032,2023-01-31 06:13:00,Mumbai,1006.01,Travel,Mobile,Success
1091,T100033,2023-03-08 21:18:00,Hyderabad,1048.34,Utilities,Mobile,Success
1059,T100034,2023-02-20 09:16:00,Bangalore,1595.67,Electronics,Desktop,Success
1079,T100035,2023-01-22 15:42:00,Hyderabad,2944.82,Food,Mobile,Success
1014,T100036,2023-02-02 07:44:00,Mumbai,1794.72,Utilities,Desktop,Success
1061,T100037,2023-01-05 21:38:00,Delhi,2072.62,Food,Mobile,Success
1061,T100038,2023-01-22 20:38:00,Mumbai,2651.67,Travel,Desktop,Success
1046,T100039,2023-03-04 14:52:00,Hyderabad,2055.16,Utilities,Tablet,Success
1061,T100040,2023-01-12 19:25:00,Bangalore,2037.95,Travel,Desktop,Success
1050,T100041,2023-01-16 00:43:00,Bangalore,2311.33,Utilities,Desktop,Success
1054,T100042,2023-01-19 22:52:00,Hyderabad,2144.48,Electronics,Desktop,Failed
1063,T100043,2023-02-06 12:24:00,Bangalore,1950.27,Clothing,Tablet,Success
1002,T100044,2023-01-13 08:03:00,Chennai,1639.28,Clothing,Desktop,Success
1050,T100045,2023-02-09 07:43:00,Delhi,2039.24,Food,Tablet,Failed
1006,T100046,2023-03-06 15:42:00,Delhi,2547.2,Utilities,Mobile,Success
1020,T100047,2023-01-30 07:39:00,Delhi,2891.0,Travel,Mobile,Success
1072,T100048,2023-01-08 15:16:00,Bangalore,2146.14,Electronics,Tablet,Failed
1038,T100049,2023-02-05 21:07:00,Bangalore,2377.58,Electronics,Desktop,Success
1017,T100050,2023-01-11 05:02:00,Mumbai,2134.87,Electronics,Mobile,Success
1003,T100051,2023-01-05 13:02:00,Mumbai,1956.34,Clothing,Desktop,Success
1088,T100052,2023-02-23 09:14:00,Delhi,2257.13,Travel,Desktop,Success
1059,T100053,2023-03-07 20:56:00,Chennai,2594.67,Electronics,Tablet,Success
1013,T100054,2023-02-25 07:16:00,Mumbai,1556.82,Electronics,Mobile,Success
1008,T100055,2023-01-02 18:34:00,Mumbai,1274.3,Food,Tablet,Success
1089,T100056,2023-02-18 06:05:00,Bangalore,1733.5,Utilities,Tablet,Failed
1052,T100057,2023-02-14 11:36:00,Chennai,2105.83,Utilities,Tablet,Success
1001,T100058,2023-03-09 16:17:00,Delhi,2434.94,Utilities,Tablet,Success
1083,T100059,2023-03-10 04:53:00,Mumbai,1505.25,Food,Desktop,Success
1091,T100060,2023-02-28 12:04:00,Chennai,755.71,Clothing,Mobile,Success
1059,T100061,2023-01-12 18:05:00,Chennai,1745.28,Food,Mobile,Success
1070,T100062,2023-01-09 19:12:00,Delhi,1903.04,Electronics,Mobile,Success
1043,T100063,2023-03-05 19:03:00,Chennai,1418.86,Travel,Desktop,Success
1007,T100064,2023-01-12 11:30:00,Chennai,1621.95,Electronics,Desktop,Success
1046,T100065,2023-01-15 05:10:00,Chennai,2433.64,Electronics,Tablet,Success
1034,T100066,2023-02-23 23:19:00,Mumbai,2039.06,Travel,Tablet,Success
1077,T100067,2023-01-04 10:30:00,Delhi,2172.81,Utilities,Tablet,Success
1080,T100068,2023-01-14 15:20:00,Chennai,1822.16,Food,Tablet,Success
1035,T100069,2023-02-01 19:53:00,Chennai,1622.94,Clothing,Mobile,Success
1049,T100070,2023-01-02 10:15:00,Mumbai,1818.55,Electronics,Tablet,Success
1003,T100071,2023-03-06 09:48:00,Delhi,2249.44,Electronics,Desktop,Success
1001,T100072,2023-01-22 12:50:00,Bangalore,1254.34,Clothing,Desktop,Failed
1005,T100073,2023-01-06 04:21:00,Mumbai,2825.09,Food,Desktop,Success
1053,T100074,2023-01-31 02:59:00,Delhi,2287.43,Electronics,Tablet,Success
1003,T100075,2023-02-22 11:23:00,Chennai,1732.06,Clothing,Mobile,Success
1053,T100076,2023-01-15 15:00:00,Delhi,2406.7,Electronics,Mobile,Success
1092,T100077,2023-03-10 06:47:00,Delhi,2611.17,Utilities,Tablet,Success
1062,T100078,2023-02-25 06:00:00,Delhi,1834.83,Utilities,Tablet,Success
1017,T100079,2023-03-03 06:13:00,Bangalore,1891.71,Electronics,Desktop,Success
1089,T100080,2023-03-02 12:40:00,Delhi,2746.74,Electronics,Desktop,Success
1043,T100081,2023-01-26 08:55:00,Bangalore,3059.49,Utilities,Mobile,Success
1033,T100082,2023-02-01 02:51:00,Chennai,2014.72,Electronics,Desktop,Success
1073,T100083,2023-01-02 18:31:00,Bangalore,1420.89,Food,Desktop,Success
1061,T100084,2023-01-14 18:14:00,Chennai,1764.7,Food,Tablet,Success
1099,T100085,2023-01-04 18:26:00,Chennai,2516.51,Travel,Mobile,Success
1013,T100086,2023-02-04 00:30:00,Bangalore,1484.89,Food,Tablet,Success
1094,T100087,2023-02-13 23:14:00,Mumbai,1895.86,Electronics,Mobile,Success
1047,T100088,2023-02-03 01:42:00,Hyderabad,2146.29,Electronics,Tablet,Success
